date,open,high,low,close,asset
2024-07-08,2.619e-05,2.639e-05,2.099e-05,2.274e-05,mork/usd/ohlcv
2024-07-12,2.274e-05,2.482e-05,2.202e-05,2.447e-05,mork/usd/ohlcv
2024-07-16,2.447e-05,2.545e-05,2.332e-05,2.529e-05,mork/usd/ohlcv
2024-07-20,2.533e-05,2.588e-05,2.306e-05,2.403e-05,mork/usd/ohlcv
2024-07-24,2.401e-05,2.461e-05,2.299e-05,2.343e-05,mork/usd/ohlcv
2024-07-28,2.343e-05,2.507e-05,2.172e-05,2.489e-05,mork/usd/ohlcv
2024-08-01,2.478e-05,2.52e-05,2.324e-05,2.337e-05,mork/usd/ohlcv
2024-08-05,2.335e-05,2.352e-05,1.877e-05,1.907e-05,mork/usd/ohlcv
2024-08-09,1.909e-05,1.919e-05,1.57e-05,1.909e-05,mork/usd/ohlcv
2024-08-13,1.917e-05,1.917e-05,1.746e-05,1.832e-05,mork/usd/ohlcv
2024-08-17,1.835e-05,1.841e-05,1.655e-05,1.7e-05,mork/usd/ohlcv
2024-08-21,1.699e-05,1.911e-05,1.691e-05,1.909e-05,mork/usd/ohlcv
2024-08-25,1.907e-05,2.615e-05,1.907e-05,2.577e-05,mork/usd/ohlcv
2024-08-29,2.58e-05,2.58e-05,1.858e-05,1.908e-05,mork/usd/ohlcv
2024-09-02,1.909e-05,1.94e-05,1.708e-05,1.711e-05,mork/usd/ohlcv
2024-09-06,1.71e-05,1.787e-05,1.537e-05,1.578e-05,mork/usd/ohlcv
2024-09-10,1.576e-05,1.633e-05,1.516e-05,1.61e-05,mork/usd/ohlcv
2024-09-14,1.61e-05,1.843e-05,1.551e-05,1.662e-05,mork/usd/ohlcv
2024-09-18,1.684e-05,1.69e-05,1.582e-05,1.669e-05,mork/usd/ohlcv
2024-09-22,1.669e-05,1.71e-05,1.559e-05,1.697e-05,mork/usd/ohlcv
2024-09-26,1.697e-05,1.698e-05,1.619e-05,1.653e-05,mork/usd/ohlcv
2024-09-30,1.656e-05,1.757e-05,1.625e-05,1.673e-05,mork/usd/ohlcv
2024-10-04,1.672e-05,1.672e-05,1.415e-05,1.456e-05,mork/usd/ohlcv
2024-10-08,1.456e-05,1.524e-05,1.441e-05,1.448e-05,mork/usd/ohlcv
2024-10-12,1.446e-05,1.468e-05,1.389e-05,1.428e-05,mork/usd/ohlcv
2024-10-16,1.431e-05,1.443e-05,1.351e-05,1.387e-05,mork/usd/ohlcv
2024-10-20,1.388e-05,1.589e-05,1.368e-05,1.549e-05,mork/usd/ohlcv
2024-10-24,1.549e-05,1.611e-05,1.426e-05,1.458e-05,mork/usd/ohlcv
2024-10-28,1.457e-05,1.481e-05,1.279e-05,1.339e-05,mork/usd/ohlcv
2024-11-01,1.339e-05,1.377e-05,1.268e-05,1.284e-05,mork/usd/ohlcv
2024-11-05,1.282e-05,1.303e-05,1.13e-05,1.153e-05,mork/usd/ohlcv
2024-11-09,1.154e-05,1.612e-05,1.154e-05,1.559e-05,mork/usd/ohlcv
2024-11-13,1.559e-05,1.734e-05,1.477e-05,1.571e-05,mork/usd/ohlcv
2024-11-17,1.57e-05,1.685e-05,1.367e-05,1.644e-05,mork/usd/ohlcv
2024-11-21,1.646e-05,1.825e-05,1.501e-05,1.61e-05,mork/usd/ohlcv
2024-11-25,1.609e-05,3.139e-05,1.557e-05,3.077e-05,mork/usd/ohlcv
2024-12-07,4.194e-05,4.335e-05,3.982e-05,4.258e-05,mork/usd/ohlcv
2024-12-11,4.254e-05,4.27e-05,3.012e-05,3.287e-05,mork/usd/ohlcv
2024-12-15,3.289e-05,3.791e-05,3.151e-05,3.37e-05,mork/usd/ohlcv
2024-12-19,3.37e-05,3.492e-05,2.847e-05,2.847e-05,mork/usd/ohlcv
2024-12-23,2.838e-05,2.896e-05,2.285e-05,2.596e-05,mork/usd/ohlcv
2024-12-27,2.597e-05,2.933e-05,2.557e-05,2.577e-05,mork/usd/ohlcv
2024-12-31,2.577e-05,2.711e-05,2.439e-05,2.501e-05,mork/usd/ohlcv
2025-01-04,2.507e-05,2.77e-05,2.416e-05,2.745e-05,mork/usd/ohlcv
